year,day,time,speed_ms
2006,13,1018,0.00
2006,13,1048,0.00
2006,13,1118,0.00
2006,13,1148,0.00
2006,13,1218,0.00
2006,13,1248,0.00
2006,13,1318,0.00
2006,13,1348,0.00
2006,13,1418,0.00
2006,13,1448,0.00
2006,13,1518,0.00
2006,13,1548,0.00
2006,13,1618,0.00
2006,13,1648,0.00
2006,13,1718,0.00
2006,13,1748,0.00
2006,13,1818,0.00
2006,13,1848,0.00
2006,13,1918,0.00
2006,13,1948,0.00
2006,13,2018,0.00
2006,13,2048,0.00
2006,13,2118,0.00
2006,13,2148,0.00
2006,13,2218,0.00
2006,13,2248,0.00
2006,14,1518,13.41
2006,14,1548,13.41
2006,14,1618,13.41
2006,14,1648,14.31
2006,14,1718,12.52
2006,14,1748,14.31
2006,14,1818,15.20
2006,14,1848,18.78
2006,14,1918,20.56
2006,14,1948,21.90
2006,14,2018,21.90
2006,14,2048,24.14
2006,14,2118,24.14
2006,14,2148,25.03
2006,14,2218,26.82
2006,14,2248,25.93
2006,14,2318,25.48
2006,14,2348,26.82
2006,15,18,27.72
2006,15,48,27.27
2006,15,118,29.50
2006,15,148,29.95
2006,15,218,23.69
2006,15,248,28.61
2006,15,318,21.90
2006,15,348,25.48
2006,15,418,20.56
2006,15,448,19.67
2006,15,518,23.69
2006,15,548,22.80
2006,15,618,22.80
2006,15,648,23.25
2006,15,718,30.40
2006,15,748,30.40
2006,15,818,28.61
2006,15,848,26.82
2006,15,918,23.25
2006,15,948,23.25
2006,15,1018,20.12
2006,15,1048,20.56
2006,15,1118,20.12
2006,15,1148,23.25
2006,15,1218,26.82
2006,15,1248,17.88
2006,15,1318,17.43
2006,15,1348,18.33
2006,15,1418,17.88
2006,15,1448,21.01
2006,15,1518,19.67
2006,15,1548,23.25
2006,15,1618,22.80
2006,15,1648,25.03
2006,15,1718,23.25
2006,15,1748,21.01
2006,15,1818,20.56
2006,15,1848,21.46
2006,15,1918,21.46
2006,15,1948,23.69
2006,15,2018,26.38
2006,15,2048,27.27
2006,15,2118,25.03
2006,15,2148,21.90
2006,15,2218,21.46
2006,15,2248,21.01
2006,15,2318,24.59
2006,15,2348,23.69
2006,16,18,22.35
2006,16,48,22.80
2006,16,118,20.12
2006,16,148,26.38
2006,16,218,28.61
2006,16,248,26.38
2006,16,318,28.16
2006,16,348,32.63
2006,16,418,29.95
2006,16,448,23.69
2006,16,518,27.72
2006,16,548,25.48
2006,16,618,18.78
2006,16,648,17.88
2006,16,718,16.09
2006,16,748,11.62
2006,16,818,9.39
2006,16,848,8.49
2006,16,918,7.60
2006,16,948,7.60
2006,16,1018,6.71
2006,16,1048,10.73
2006,16,1118,11.18
2006,16,1148,12.52
2006,16,1218,11.62
2006,16,1248,11.62
2006,16,1318,12.96
2006,16,1348,14.31
2006,16,1418,15.20
2006,16,1448,12.52
2006,16,1518,13.86
2006,16,1548,14.75
2006,16,1618,15.65
2006,16,1648,12.96
2006,16,1718,16.09
2006,16,1748,18.78
2006,16,1818,17.88
2006,16,1848,14.31
2006,16,1918,18.33
2006,16,1948,16.54
2006,16,2018,17.43
2006,16,2048,17.88
2006,16,2118,17.88
2006,16,2148,3.58
2006,16,2218,15.65
2006,16,2248,3.58
2006,16,2318,15.20
2006,16,2348,16.09
2006,17,18,16.09
2006,17,48,11.18
2006,17,118,16.99
2006,17,148,16.54
2006,17,218,9.83
2006,17,248,7.15
2006,17,318,9.39
2006,17,348,14.31
2006,17,418,18.33
2006,17,448,15.65
2006,17,518,15.20
2006,17,548,13.41
2006,17,618,12.96
2006,17,648,11.18
2006,17,718,15.20
2006,17,748,11.62
2006,17,818,4.02
2006,17,848,7.60
2006,17,918,16.99
2006,17,948,17.88
2006,17,1018,17.43
2006,17,1048,20.56
2006,17,1118,20.12
2006,17,1148,22.80
2006,17,1218,24.14
2006,17,1248,25.03
2006,17,1318,25.48
2006,17,1348,26.82
2006,17,1418,26.82
2006,17,1448,23.25
2006,17,1518,19.22
2006,17,1548,21.90
2006,17,1618,21.90
2006,17,1648,21.46
2006,17,1718,18.33
2006,17,1748,21.01
2006,17,1818,21.46
2006,17,1848,22.80
2006,17,1918,20.12
2006,17,1948,18.78
2006,17,2018,21.90
2006,17,2048,20.56
2006,17,2118,19.67
2006,17,2148,17.43
2006,17,2218,19.22
2006,17,2248,17.88
2006,17,2318,17.43
2006,17,2348,18.33
2006,18,18,16.54
2006,18,48,16.99
2006,18,118,18.33
2006,18,148,18.33
2006,18,218,18.33
2006,18,248,17.43
2006,18,318,17.88
2006,18,348,16.99
2006,18,418,15.20
2006,18,448,15.20
2006,18,518,13.86
2006,18,548,12.52
2006,18,618,13.86
2006,18,648,11.18
2006,18,718,11.62
2006,18,748,11.18
2006,18,818,11.62
2006,18,848,12.07
2006,18,918,16.09
2006,18,948,16.99
2006,18,1018,16.54
2006,18,1048,19.22
2006,18,1118,21.46
2006,18,1148,18.33
2006,18,1218,17.43
2006,18,1248,17.43
2006,18,1318,16.99
2006,18,1348,16.54
2006,18,1418,20.56
2006,18,1448,18.78
2006,18,1518,16.54
2006,18,1548,15.65
2006,18,1618,20.12
2006,18,1648,22.35
2006,18,1718,21.46
2006,18,1748,21.01
2006,18,1818,22.80
2006,18,1848,26.82
2006,18,1918,22.80
2006,18,1948,19.67
2006,18,2018,23.25
2006,18,2048,20.12
2006,18,2118,22.35
2006,18,2148,24.14
2006,18,2218,25.93
2006,18,2248,26.38
2006,18,2318,24.14
2006,18,2348,26.82
2006,19,18,25.93
2006,19,48,26.82
2006,19,118,26.38
2006,19,148,16.54
2006,19,218,16.99
2006,19,248,20.12
2006,19,318,20.56
2006,19,348,23.25
2006,19,418,21.01
2006,19,448,22.80
2006,19,518,18.78
2006,19,548,20.12
2006,19,618,19.67
2006,19,648,15.20
2006,19,718,22.35
2006,19,748,25.48
2006,19,818,20.56
2006,19,848,23.25
2006,19,918,24.14
2006,19,948,25.48
