model,scenario,category,imp,ghg_2030,ghg_2050,cut_2030,cut_2040,cut_2050,netzero_co2,cumulative_co2,peak_warming,warming_2100
TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp,C3,non-IMP,50.852608963966397,25.515681450617869,8.3634218701639842,34.387705749199839,54.020653326904942,2070,1056.9622419119739,1.712832708505158,1.637769938316922
TIAM-ECN 1.1,EN_INDCi2030_1200,C3,non-IMP,49.778998210117351,28.03411328986342,9.9788110331679931,33.866391036656744,49.302631617213862,2073,1061.7897780387921,1.802778993740576,1.7995077738995959
TIAM-ECN 1.1,EN_INDCi2030_1200f,C3,non-IMP,50.155448219787978,33.080053862360167,9.7225215931437283,26.732136375878579,40.457438737859093,2074,1197.2845063785319,1.8223051642480761,1.764526445271267
TIAM-ECN 1.1,EN_INDCi2030_1400,C4,non-IMP,50.251966429544566,34.440025189120711,9.7790930310939501,23.429933143130249,38.167388674214699,2079,1271.5487914407811,1.8887730973372441,1.8809408415671931
TIAM-ECN 1.1,EN_INDCi2030_1400f,C4,non-IMP,49.931515560608091,36.293463050526917,10.17799145805211,21.88124093861855,34.711540165763843,2079,1355.786336753109,1.914764102679561,1.873848069288073
TIAM-ECN 1.1,EN_INDCi2030_1600,C4,non-IMP,49.286044107971279,39.471778531967153,10.94496146556734,19.944955999311379,28.67837494755636,2085,1449.904449768391,1.9646473147396659,1.948983689215281
TIAM-ECN 1.1,EN_INDCi2030_1600f,C5,non-IMP,50.201952180263469,41.469539116260762,9.7348522310479115,18.08762602364116,25.43608537774654,2081,1503.9538128853201,2.0259731719253038,1.9986030074872561
TIAM-ECN 1.1,EN_INDCi2030_2000,C5,non-IMP,50.362574627214151,46.317046413811987,9.2417605603614845,14.02328385141382,16.53219439877298,2090,1836.379911573312,2.1951805687247261,2.1876322372177039
TIAM-ECN 1.1,EN_INDCi2030_2000f,C5,non-IMP,50.362560593774148,46.317129458231989,9.2417601678157038,14.02325462460005,16.532021125466631,2090,1836.38093648221,2.1951798445402968,2.1876314149862912
TIAM-ECN 1.1,EN_INDCi2030_2500,C5,non-IMP,50.90881556141192,49.865330254260243,8.3032233183418853,8.3627849876786584,10.18274532499815,,2360.4541118208981,2.4138241267813179,2.4138241267813179
TIAM-ECN 1.1,EN_INDCi2030_2500f,C5,non-IMP,50.90881556141192,49.86593793604024,8.3032233183418853,8.3626655891773751,10.181650770747391,,2360.4964550689219,2.4138344331816999,2.4138344331816999
TIAM-ECN 1.1,EN_INDCi2030_3000,C6,non-IMP,51.519147074152727,55.3673631218767,7.4153348205772769,2.5628797078166619,0.49973519304860531,,2864.785186412942,2.815879781588801,2.815879781588801
TIAM-ECN 1.1,EN_INDCi2030_3000f,C6,non-IMP,51.519192652282719,55.330943514316708,7.415359362227945,2.5675713753485838,0.56529891690965228,,2859.7193637515529,2.8140931195717811,2.8140931195717811
TIAM-ECN 1.1,EN_INDCi2030_900,C3,non-IMP,50.550075210440149,13.675043458286121,9.1054546453735252,55.599124275707069,75.410781236801,2060,790.82028873450213,1.625213332795812,1.601314314224628
TIAM-ECN 1.1,EN_INDCi2030_900f,C3,non-IMP,49.951163340251213,21.93588081932381,10.319146077040839,40.929159243222607,60.616962811674782,2068,994.09415191878793,1.657330611270263,1.5692409390842019
TIAM-ECN 1.1,EN_INDCi2100,C7,non-IMP,50.24420514133304,63.075547615613523,9.3399883350621717,-7.7157226646399018,-13.81272460213799,,3509.389526831169,3.3742937311022589,3.3742937311022589
TIAM-ECN 1.1,EN_INDCi2100_COV,C7,non-IMP,51.079228548671317,63.146746268364723,8.0660179084419497,-7.8175752738103554,-13.653475307371499,,3446.4430246886382,3.3371355221420251,3.3371355221420251
TIAM-ECN 1.1,EN_INDCi2100_NDCp,C7,non-IMP,50.351026060333041,64.213638791723511,9.1435294950496857,-9.0839872890212661,-15.871016648298481,,3569.9382528511878,3.3968742645750081,3.3968742645750081
TIAM-ECN 1.1,EN_NPi2020_1000,C3,non-IMP,38.279264274959118,20.462732917529571,29.474317638252639,41.500370393098848,62.299479121937651,2069,864.8340591639369,1.635795599189718,1.6323089314691319
TIAM-ECN 1.1,EN_NPi2020_1000_COV,C3,non-IMP,38.55153159456912,21.049574127253571,28.854985046780389,40.818099940808622,61.154013755102604,2069,879.72772272451175,1.641223487540298,1.637764469872663
TIAM-ECN 1.1,EN_NPi2020_1000f,C3,non-IMP,44.12751584124188,25.971124771735141,19.464438686602779,32.995480788555057,52.601022931883648,2071,1034.9416337964601,1.6823861843485439,1.6155235307985649
TIAM-ECN 1.1,EN_NPi2020_1000f_COV,C3,non-IMP,44.89047122957188,26.104200912948141,17.4034256288808,33.064352321841049,51.969370936685493,2071,1033.598374716147,1.681089342776326,1.6139794489788211
TIAM-ECN 1.1,EN_NPi2020_1200,C3,non-IMP,45.732862648527188,29.61391744350329,16.416219614194912,29.85785539029315,45.876049986543848,2076,1056.039203206288,1.773869726093372,1.7716284112576419
TIAM-ECN 1.1,EN_NPi2020_1200f,C3,non-IMP,47.117495382670988,33.32014150228283,14.08445774002559,26.417067850151351,39.242992393849377,2074,1177.3193136824791,1.811516078258566,1.768704047536438
